Building,Day,In,Out,Reason
Cole Hall,2019/2/4,9:45,11:20,CSCI 522
Psyc-Computer ,2019/2/4,14:59,18:19,Study & CSCI 627
Dusable Hall,2019/2/5,13:58,15:20,STAT 573
Psyc-Computer ,2019/2/5,15:31,16:27,Study
Cole Hall,2019/2/6,9:47,11:42,CSCI 522
Dusable Hall,2019/2/6,13:50,14:23,Meet with STAT 573 Professor
Psyc-Computer ,2019/2/6,14:37,18:20,Study & CSCI 627
Psyc-Computer ,2019/2/6,20:15,21:50,Study
Dusable Hall,2019/2/7,13:52,15:18,STAT 573
Graham Hall ,2019/2/7,16:53,17:58,STAT 573A
