Day,Building,IN,OUT,Reason
Monday,Faraday Hall,8:50,14:00,TA Hours
Monday,Psych/Comp,16:50,18:30,CSCI 627
Tuesday,Library,9:45,10:15,Printouts
Tuesday,Psych/Comp,10:30,15:20,CSCI 503 & CSCI 602
Wednesday,Faraday Hall,8:50,11:30,TA Hours
Wednesday,Psych/Comp,16:50,18:30,CSCI 627
Thursday,Psych/Comp,10:45,15:15,CSCI 503 & CSCI 602
