Building,Day,In,Out,Reason
Psychology-Computer Science,Monday,16:45,18:24,Data visualization course
Psychology-Computer Science,Tuesday,11:03,12:22,Python course
Psychology-Computer Science,Tuesday,13:50,15:20,Algorithm course
Student Recreation Center,Tuesday,15:45,17:30,work out
Foundation Memorial Library,Wednsday,13:45,16:47,studying
Psychology-Computer Science,Wednsday,16:47,18:20,Data visualization course
Psychology-Computer Science,Thursday,10:55,12:20,Python course
Psychology-Computer Science,Thursday,13:50,15:20,Algorithm course
