,Date,Building,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,2019/02/04,Campus Recreation Building,07:48:00,08:54:00,Gym,2019-02-04 07:48:00,2019-02-04 08:54:00,66.0
1,2019/02/04,Cole Hall,09:57:00,11:17:00,CSCI 522 class,2019-02-04 09:57:00,2019-02-04 11:17:00,80.0
2,2019/02/04,Neptune,11:27:00,15:29:00,Shift,2019-02-04 11:27:00,2019-02-04 15:29:00,242.0
3,2019/02/04,Computer Science Building,16:57:00,18:17:00,CSCI 627 class,2019-02-04 16:57:00,2019-02-04 18:17:00,80.0
4,2019/02/05,Computer Science Building,13:47:00,15:24:00,CSCI 602 class,2019-02-05 13:47:00,2019-02-05 15:24:00,97.0
5,2019/02/05,Campus Life Building,15:36:00,16:57:00,Linkedin Workshop,2019-02-05 15:36:00,2019-02-05 16:57:00,81.0
6,2019/02/05,Neptune,17:36:00,21:26:00,Shift,2019-02-05 17:36:00,2019-02-05 21:26:00,230.0
7,2019/02/06,Campus Recreation Building,07:14:00,08:35:00,Gym,2019-02-06 07:14:00,2019-02-06 08:35:00,81.0
8,2019/02/06,Cole Hall,10:01:00,11:13:00,CSCI 522 class,2019-02-06 10:01:00,2019-02-06 11:13:00,72.0
9,2019/02/06,Neptune,11:33:00,15:23:00,Shift,2019-02-06 11:33:00,2019-02-06 15:23:00,230.0
10,2019/02/06,Computer Science Building,16:54:00,18:12:00,CSCI 627 class,2019-02-06 16:54:00,2019-02-06 18:12:00,78.0
11,2019/02/07,Campus Recreation Building,07:53:00,09:20:00,Gym,2019-02-07 07:53:00,2019-02-07 09:20:00,87.0
12,2019/02/07,Computer Science Building,13:53:00,15:24:00,CSCI 602 class,2019-02-07 13:53:00,2019-02-07 15:24:00,91.0
13,2019/02/07,Neptune,17:46:00,21:37:00,Shift,2019-02-07 17:46:00,2019-02-07 21:37:00,231.0
14,2019/02/08,Holmes Students Center ,16:52:00,17:08:00,ISA Meeting ,2019-02-08 16:52:00,2019-02-08 17:08:00,16.0
