,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Cole Hall,2019/2/4,9:45,11:20,CSCI 522,2019-02-04 09:45:00,2019-02-04 11:20:00,95.0
1,Psyc-Computer ,2019/2/4,14:59,18:19,Study & CSCI 627,2019-02-04 14:59:00,2019-02-04 18:19:00,200.0
2,Dusable Hall,2019/2/5,13:58,15:20,STAT 573,2019-02-05 13:58:00,2019-02-05 15:20:00,82.0
3,Psyc-Computer ,2019/2/5,15:31,16:27,Study,2019-02-05 15:31:00,2019-02-05 16:27:00,56.0
4,Cole Hall,2019/2/6,9:47,11:42,CSCI 522,2019-02-06 09:47:00,2019-02-06 11:42:00,115.0
5,Dusable Hall,2019/2/6,13:50,14:23,Meet with STAT 573 Professor,2019-02-06 13:50:00,2019-02-06 14:23:00,33.0
6,Psyc-Computer ,2019/2/6,14:37,18:20,Study & CSCI 627,2019-02-06 14:37:00,2019-02-06 18:20:00,223.0
7,Psyc-Computer ,2019/2/6,20:15,21:50,Study,2019-02-06 20:15:00,2019-02-06 21:50:00,95.0
8,Dusable Hall,2019/2/7,13:52,15:18,STAT 573,2019-02-07 13:52:00,2019-02-07 15:18:00,86.0
9,Graham Hall ,2019/2/7,16:53,17:58,STAT 573A,2019-02-07 16:53:00,2019-02-07 17:58:00,65.0
