,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Engineering,2/4/2019,17:24:00,18:14:00,IEEE Meeting,2019-02-04 17:24:00,2019-02-04 18:14:00,50.0
1,CS/Psych,2/5/2019,14:18:00,15:35:00,IRS class,2019-02-05 14:18:00,2019-02-05 15:35:00,77.0
2,CS/Psych,2/5/2019,16:40:00,17:27:00,Research Work,2019-02-05 16:40:00,2019-02-05 17:27:00,47.0
3,CS/Psych,2/6/2019,15:23:00,19:32:00,"Research Work, Data Vis class",2019-02-06 15:23:00,2019-02-06 19:32:00,249.0
4,CS/Psych,2/7/2019,13:47:00,15:35:00,IRS class,2019-02-07 13:47:00,2019-02-07 15:35:00,108.0
5,CS/Psych,2/8/2019,15:36:00,18:00:00,Research Meeting,2019-02-08 15:36:00,2019-02-08 18:00:00,144.0
