,Day,Building,IN,OUT,Reason,Time_In,Time_Out,Time_Diff
0,2/4/2019,Faraday Hall,8:50,14:00,TA Hours,2019-02-04 08:50:00,2019-02-04 14:00:00,310.0
1,2/4/2019,Psych/Comp,16:50,18:30,CSCI 627,2019-02-04 16:50:00,2019-02-04 18:30:00,100.0
2,2/5/2019,Library,9:45,10:15,Printouts,2019-02-05 09:45:00,2019-02-05 10:15:00,30.0
3,2/5/2019,Psych/Comp,10:30,15:20,CSCI 503 & CSCI 602,2019-02-05 10:30:00,2019-02-05 15:20:00,290.0
4,2/6/2019,Faraday Hall,8:50,11:30,TA Hours,2019-02-06 08:50:00,2019-02-06 11:30:00,160.0
5,2/6/2019,Psych/Comp,16:50,18:30,CSCI 627,2019-02-06 16:50:00,2019-02-06 18:30:00,100.0
6,2/7/2019,Psych/Comp,10:45,15:15,CSCI 503 & CSCI 602,2019-02-07 10:45:00,2019-02-07 15:15:00,270.0
