,Building,Day,In,Out,Reason,Time_In,Time_Out,Time_Diff
0,Psychology-Computer Science,2/4/2019,16:45,18:24,Data visualization course,2019-02-04 16:45:00,2019-02-04 18:24:00,99.0
1,Psychology-Computer Science,2/5/2019,11:03,12:22,Python course,2019-02-05 11:03:00,2019-02-05 12:22:00,79.0
2,Psychology-Computer Science,2/5/2019,13:50,15:20,Algorithm course,2019-02-05 13:50:00,2019-02-05 15:20:00,90.0
3,Student Recreation Center,2/5/2019,15:45,17:30,work out,2019-02-05 15:45:00,2019-02-05 17:30:00,105.0
4,Foundation Memorial Library,2/6/2019,13:45,16:47,studying,2019-02-06 13:45:00,2019-02-06 16:47:00,182.0
5,Psychology-Computer Science,2/6/2019,16:47,18:20,Data visualization course,2019-02-06 16:47:00,2019-02-06 18:20:00,93.0
6,Psychology-Computer Science,2/7/2019,10:55,12:20,Python course,2019-02-07 10:55:00,2019-02-07 12:20:00,85.0
7,Psychology-Computer Science,2/7/2019,13:50,15:20,Algorithm course,2019-02-07 13:50:00,2019-02-07 15:20:00,90.0
